Language,original,german,english,czech,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp
rl_create_group,Create Group,Gruppe erstellen,Create Group,Create Group,Create Group,Utwórz grupę,Create Group,Create Group,Crear Grupo,Create Group,Create Group,创建小组,Create Group,创建小组
rl_create,Create,erstellen,Create,Create,Create,Utwórz,Create,Create,Crear,Create,Create,创建,Create,创建
rl_groupname,Groupname,Gruppenname,Groupname,Groupname,Groupname,Nazwa grupy,Groupname,Groupname,Nombre del Clan,Groupname,Groupname,小组名称,Groupname,小组名称
rl_groupname_short,Group Tag Short,kurzer Gruppen Tag,Group Tag Short,Group Tag Short,Group Tag Short,Tag grupy,Group Tag Short,Group Tag Short,Tag del Clan,Group Tag Short,Group Tag Short,组标标记,Group Tag Short,组标标记
rl_group,Group,Gruppe,Group,Group,Group,Grupa,Group,Group,Grupo,Group,Group,团队,Group,团队
rl_playerlist,Online Players:,Spieler online:,Online Players:,Online Players:,Online Players:,Lista graczy:,Online Players:,Online Players:,Jugadores Online:,Online Players:,Online Players:,在线玩家:,Online Players:,在线玩家:
rl_search,Search:,Suchen:,Search:,Search:,Search:,Szukaj:,Search:,Search:,Buscar:,Search:,Search:,搜索:,Search:,搜索:
rl_info,Info,Info,Info,Info,Info,Informacje,Info,Info,Info,Info,Info,信息,Info,信息
rl_markers,Markers,Marker,Markers,Markers,Markers,Znaczniki,Markers,Markers,Marcas,Markers,Markers,标记,Markers,标记
rl_group_create_info,Enter a unique Groupname and a Short Group Tag. Creating a Group currently costs:,Gebe einen Gruppennamen und einen kurzen Gruppen Tag ein. Das Erstellen einer Gruppe kostet aktuell:,Enter a unique Groupname and a Short Group Tag. Creating a Group currently costs:,Enter a unique Groupname and a Short Group Tag. Creating a Group currently costs:,Enter a unique Groupname and a Short Group Tag. Creating a Group currently costs:,Wprowadź unikalną Nazwę grupy oraz Tag grupy. Koszt utworzenia grupy:,Enter a unique Groupname and a Short Group Tag. Creating a Group currently costs:,Enter a unique Groupname and a Short Group Tag. Creating a Group currently costs:,"Elige un nombre para el clan y un Tag, Crear el grupo cuesta:",Enter a unique Groupname and a Short Group Tag. Creating a Group currently costs:,Enter a unique Groupname and a Short Group Tag. Creating a Group currently costs:,输入唯一的组名和小组标记。创建一个分组当前需要花费:,Enter a unique Groupname and a Short Group Tag. Creating a Group currently costs:,输入唯一的组名和小组标记。创建一个分组当前需要花费:
rl_kick,Kick,Rauswerfen,Kick,Kick,Kick,Wyrzuć,Kick,Kick,Expulsar,Kick,Kick,踢,Kick,踢
rl_leave,Leave,Verlassen,Leave,Leave,Leave,Opuść,Leave,Leave,Salir,Leave,Leave,Leave,Leave,Leave
rl_promote,Promote,Befördern,Promote,Promote,Promote,Awansuj,Promote,Promote,Ascender,Promote,Promote,离开,Promote,离开
rl_demote,Demote,Degradieren,Demote,Demote,Demote,Zdegraduj,Demote,Demote,Degradar,Demote,Demote,降级,Demote,降级
rl_upgrade,Upgrade,Erweitern,Upgrade,Upgrade,Upgrade,Ulepsz,Upgrade,Upgrade,Mejorar,Upgrade,Upgrade,升级,Upgrade,升级
rl_join_subgroup,Join,Betreten,Join,Join,Join,Dołącz,Join,Join,Entrar,Join,Join,参加,Join,参加
rl_invite,Invite,Einladen,Invite,Invite,Invite,Zaproś,Invite,Invite,Invitar,Invite,Invite,邀请,Invite,邀请
rl_marker_icon,Icon:,Icon:,Icon:,Icon:,Icon:,Ikona:,Icon:,Icon:,Icono:,Icon:,Icon:,图标:,Icon:,图标:
rl_marker_name,Name:,Name:,Name:,Name:,Name:,Nazwa:,Name:,Name:,Nombre:,Name:,Name:,名称:,Name:,名称:
rl_marker_private,Private,Privat,Private,Private,Private,Prywatny,Private,Private,Privada,Private,Private,私人,Private,私人
rl_marker_global_temp,Servermarker (temp),Servermarker (temp),Servermarker (temp),Servermarker (temp),Servermarker (temp),Servermarker (tymaczsowy),Servermarker (temp),Servermarker (temp),Servermarker (temp),Servermarker (temp),Servermarker (temp),Servermarker (temp),Servermarker (temp),Servermarker (temp)
rl_marker_global_perm,Servermarker (perm),Servermarker (perm),Servermarker (perm),Servermarker (perm),Servermarker (perm),Servermarker (permanentny),Servermarker (perm),Servermarker (perm),Servermarker (perm),Servermarker (perm),Servermarker (perm),Servermarker (perm),Servermarker (perm),Servermarker (perm)
rl_visibility,Visibility:,Sichtbarkeit:,Visibility:,Visibility:,Visibility:,Widoczność:,Visibility:,Visibility:,Visibilidad:,Visibility:,Visibility:,可见度:,Visibility:,可见度:
rl_marker_add_notice_1,Double Click to add a Marker,Doppelklick zum Hinzufügen von Markern,Double Click to add a Marker,Double Click to add a Marker,Double Click to add a Marker,"Kliknij dwukrotnie, aby dodać znacznik",Double Click to add a Marker,Doble click para añadir marca,Doble click para añadir marca,Double Click to add a Marker,Double Click to add a Marker,双击以添加标记,Double Click to add a Marker,双击以添加标记
rl_marker_add_notice_2,DEL to Delete a Marker,DEL Taste zum Löschen,DEL to Delete a Marker,DEL to Delete a Marker,DEL to Delete a Marker,DEL aby usunąć znacznik,DEL to Delete a Marker,DEL to Delete a Marker,DEL para eliminar marcador,DEL to Delete a Marker,DEL to Delete a Marker,删除标记,DEL to Delete a Marker,删除标记
rl_color,Color:,Farbe:,Color:,Color:,Color:,Kolor:,Color:,Color:,Color:,Color:,Color:,颜色:,Color:,颜色:
rl_addmarker,Add Marker,Marker hinzufügen,Add Marker,Add Marker,Add Marker,Dodaj znacznik,Add Marker,Add Marker,Añadir marca,Add Marker,Add Marker,添加标记,Add Marker,添加标记
rl_Survivors,Survivors:,Überlebende:,Survivors:,Survivors:,Survivors:,Ocalali:,Survivors:,Survivors:,Supervivientes:,Survivors:,Survivors:,幸存者:,Survivors:,幸存者:
rl_Survivor,Survivor:,Überlebender:,Survivor:,Survivor:,Survivor:,Ocalały:,Survivor:,Survivor:,Superviviente:,Survivor:,Survivor:,幸存者:,Survivor:,幸存者:
